Month,Day,Quarter,Department,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,wip_mean,wip_median,wip_knn,wip_rf
1,4,1,1,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424,1108.0,1108.0,1108.0,1108.0
1,4,1,2,1,0.75,3.94,,960,0,0.0,0,0,8.0,0.8865,1190.0,1039.0,818.0,738.0
1,4,1,1,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,968.0,968.0,968.0,968.0
1,4,1,1,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,968.0,968.0,968.0,968.0
1,4,1,1,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,1170.0,1170.0,1170.0,1170.0
1,4,1,1,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125,984.0,984.0,984.0,984.0
1,4,1,2,2,0.75,3.94,,960,0,0.0,0,0,8.0,0.755166667,1190.0,1039.0,818.0,640.0
1,4,1,1,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,795.0,795.0,795.0,795.0
1,4,1,1,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,733.0,733.0,733.0,733.0
1,4,1,1,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,681.0,681.0,681.0,681.0
1,4,1,1,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957,872.0,872.0,872.0,872.0
1,4,1,1,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247,578.0,578.0,578.0,578.0
1,4,1,1,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,668.0,668.0,668.0,668.0
1,4,1,2,10,0.65,3.94,,960,0,0.0,0,0,8.0,0.705916667,1190.0,1039.0,818.0,716.0
1,4,1,2,8,0.75,2.9,,960,0,0.0,0,0,8.0,0.676666667,1190.0,1039.0,818.0,707.0
1,4,1,2,4,0.75,3.94,,2160,0,0.0,0,0,18.0,0.593055556,1190.0,1039.0,888.0,686.0
1,4,1,2,7,0.8,2.9,,960,0,0.0,0,0,8.0,0.540729167,1190.0,1039.0,818.0,677.0
1,4,1,1,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118,861.0,861.0,861.0,861.0
1,4,1,2,11,0.7,4.15,,1440,0,0.0,0,0,12.0,0.436326389,1190.0,1039.0,908.0,693.0
1,6,1,2,4,0.8,4.15,,6600,0,0.0,0,0,20.0,0.988024691,1190.0,1039.0,1060.0,882.0
1,6,1,2,11,0.75,2.9,,5640,0,0.0,0,0,17.0,0.987880435,1190.0,1039.0,1016.0,869.0
1,6,1,2,9,0.8,4.15,,960,0,0.0,0,0,8.0,0.956270833,1190.0,1039.0,818.0,842.0
1,6,1,2,3,0.75,3.94,,1560,0,0.0,0,0,8.0,0.945277778,1190.0,1039.0,841.0,804.0
1,6,1,2,1,0.8,3.94,,960,0,0.0,0,0,8.0,0.902916667,1190.0,1039.0,818.0,1008.0
1,6,1,1,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314,772.0,772.0,772.0,772.0
1,6,1,1,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936,913.0,913.0,913.0,913.0
1,6,1,1,8,0.8,26.16,1261.0,7080,50,0.0,0,0,59.0,0.800318644,1261.0,1261.0,1261.0,1261.0
1,6,1,1,12,0.8,26.16,844.0,7080,63,0.0,0,0,59.0,0.800318644,844.0,844.0,844.0,844.0
1,6,1,1,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.800237288,1005.0,1005.0,1005.0,1005.0
1,6,1,1,5,0.8,11.61,659.0,7080,50,0.0,0,0,31.5,0.800148649,659.0,659.0,659.0,659.0
1,6,1,1,6,0.8,25.9,1152.0,6720,50,0.0,0,0,56.0,0.800125,1152.0,1152.0,1152.0,1152.0
1,6,1,1,7,0.8,25.9,1138.0,6720,38,0.0,0,0,56.0,0.800125,1138.0,1138.0,1138.0,1138.0
1,6,1,1,10,0.75,19.31,610.0,6480,56,0.0,0,0,54.0,0.787299691,610.0,610.0,610.0,610.0
1,6,1,2,2,0.8,4.15,,960,0,0.0,0,0,8.0,0.782447917,1190.0,1039.0,818.0,613.0
1,6,1,1,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,944.0,944.0,944.0,944.0
1,6,1,2,10,0.7,4.15,,960,0,0.0,0,0,8.0,0.7018125,1190.0,1039.0,818.0,725.0
1,6,1,1,4,0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038,544.0,544.0,544.0,544.0
1,6,1,1,9,0.7,28.08,1072.0,6900,40,0.0,0,0,57.5,0.699965217,1072.0,1072.0,1072.0,1072.0
1,6,1,2,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.628333333,1190.0,1039.0,818.0,697.0
1,6,1,2,7,0.8,3.94,,960,0,0.0,0,0,8.0,0.6253125,1190.0,1039.0,818.0,703.0
1,7,1,2,3,0.75,4.15,,1560,0,0.0,0,0,8.0,0.991388889,1190.0,1039.0,841.0,821.0
1,7,1,2,9,0.8,3.94,,960,0,0.0,0,0,8.0,0.931645833,1190.0,1039.0,818.0,847.0
1,7,1,2,1,0.8,3.94,,960,0,0.0,0,0,8.0,0.915229167,1190.0,1039.0,818.0,1010.0
1,7,1,1,6,0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714482,539.0,539.0,539.0,539.0
1,7,1,2,4,0.8,3.94,,6600,0,0.0,0,0,20.0,0.861679012,1190.0,1039.0,1060.0,764.0
1,7,1,1,9,0.8,26.16,1278.0,7080,60,0.0,0,0,59.0,0.850569492,1278.0,1278.0,1278.0,1278.0
1,7,1,1,7,0.8,25.9,1227.0,7020,60,0.0,0,0,56.5,0.850436438,1227.0,1227.0,1227.0,1227.0
1,7,1,1,8,0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,0.850345133,1039.0,1039.0,1039.0,1039.0
1,7,1,1,4,0.8,28.08,878.0,4260,50,0.0,0,0,55.5,0.800598058,878.0,878.0,878.0,878.0
1,7,1,1,1,0.8,26.16,1033.0,7080,63,0.0,0,0,59.0,0.800318644,1033.0,1033.0,1033.0,1033.0
1,7,1,1,2,0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.800237838,782.0,782.0,782.0,782.0
1,7,1,1,12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,0.800030199,1216.0,1216.0,1216.0,1216.0
1,7,1,2,2,0.8,3.94,,960,0,0.0,0,0,8.0,0.792104167,1190.0,1039.0,818.0,614.0
1,7,1,2,10,0.7,3.94,,4320,0,0.0,0,0,18.0,0.759228395,1190.0,1039.0,1063.0,765.0
1,7,1,1,11,0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.750348457,513.0,513.0,513.0,513.0
1,7,1,1,3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.75024303,734.0,734.0,734.0,734.0
1,7,1,1,10,0.7,28.08,1202.0,6900,40,0.0,0,0,57.5,0.699965217,1202.0,1202.0,1202.0,1202.0
1,7,1,2,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.682708333,1190.0,1039.0,818.0,683.0
1,7,1,2,7,0.8,2.9,,960,0,0.0,0,0,8.0,0.667604167,1190.0,1039.0,818.0,693.0
1,7,1,1,5,0.7,45.67,884.0,6960,26,0.0,0,0,58.0,0.603432184,884.0,884.0,884.0,884.0
1,7,1,2,11,0.75,4.15,,960,0,0.0,0,0,8.0,0.345833333,1190.0,1039.0,818.0,623.0
1,1,1,2,1,0.8,3.94,,1920,0,0.0,0,0,8.0,0.961059028,1190.0,1039.0,849.0,10263.0
1,1,1,2,11,0.8,3.94,,2400,0,0.0,0,0,10.0,0.939513889,1190.0,1039.0,863.0,10109.0
1,1,1,2,4,0.8,3.94,,3840,0,0.0,0,0,16.0,0.893663194,1190.0,1039.0,886.0,10038.0
1,1,1,2,3,0.75,4.15,,1920,0,0.0,0,0,8.0,0.875390625,1190.0,1039.0,849.0,9131.0
1,1,1,1,9,0.8,26.16,1227.0,7080,75,0.0,0,0,59.0,0.850569492,1227.0,1227.0,1227.0,1227.0
1,1,1,2,9,0.8,2.9,,1920,0,0.0,0,0,8.0,0.820833333,1190.0,1039.0,849.0,4142.0
1,1,1,2,2,0.8,3.94,,960,0,0.0,0,0,8.0,0.804416667,1190.0,1039.0,818.0,5320.0
1,1,1,1,7,0.8,25.9,1255.0,6780,50,0.0,0,0,56.5,0.800684366,1255.0,1255.0,1255.0,1255.0
1,1,1,1,8,0.8,25.9,1047.0,6780,38,0.0,0,0,56.5,0.800684366,1047.0,1047.0,1047.0,1047.0
1,1,1,1,1,0.8,26.16,1138.0,7080,63,0.0,0,0,59.0,0.800318644,1138.0,1138.0,1138.0,1138.0
1,1,1,1,11,0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800250962,678.0,678.0,678.0,678.0
1,1,1,1,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.800246011,712.0,712.0,712.0,712.0
1,1,1,1,12,0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.800246011,1037.0,1037.0,1037.0,1037.0
1,1,1,1,2,0.8,28.08,757.0,6900,50,0.0,0,0,57.5,0.800076522,757.0,757.0,757.0,757.0
1,1,1,1,4,0.8,28.08,759.0,6900,50,0.0,0,0,57.5,0.800076522,759.0,759.0,759.0,759.0
1,1,1,2,10,0.75,2.9,,960,0,0.0,0,0,8.0,0.763375,1190.0,1039.0,818.0,1358.0
1,1,1,2,5,0.6,2.9,,960,0,0.0,0,0,8.0,0.759270833,1190.0,1039.0,818.0,2056.0
1,1,1,1,10,0.75,28.08,1083.0,7020,45,0.0,0,0,58.5,0.7504,1083.0,1083.0,1083.0,1083.0
1,1,1,1,3,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303,944.0,944.0,944.0,944.0
1,1,1,2,7,0.8,3.94,,960,0,0.0,0,0,8.0,0.676666667,1190.0,1039.0,818.0,1610.0
1,1,1,2,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.664583333,1190.0,1039.0,818.0,1550.0
1,1,1,1,5,0.6,21.98,666.0,6960,23,0.0,0,0,58.0,0.600028736,666.0,666.0,666.0,666.0
1,2,1,2,4,0.8,3.94,,4440,0,0.0,0,0,18.0,0.966781346,1190.0,1039.0,1032.0,863.0
1,2,1,2,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.936496212,1190.0,1039.0,902.0,981.0
1,2,1,2,3,0.75,4.15,,1800,0,0.0,0,0,10.0,0.899166667,1190.0,1039.0,716.0,645.0
1,2,1,2,11,0.8,4.15,,2700,0,0.0,0,0,15.0,0.888686869,1190.0,1039.0,934.0,590.0
1,2,1,2,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939,1190.0,1039.0,904.0,624.0
1,2,1,1,1,0.8,26.16,1187.0,10620,75,0.0,0,0,59.0,0.850502311,1187.0,1187.0,1187.0,1187.0
1,2,1,1,9,0.8,26.16,1305.0,10620,75,0.0,0,0,59.0,0.850502311,1305.0,1305.0,1305.0,1305.0
1,2,1,2,10,0.75,3.94,,1440,0,0.0,0,0,8.0,0.809640152,1190.0,1039.0,904.0,650.0
1,2,1,2,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.805909091,1190.0,1039.0,903.0,631.0
1,2,1,1,2,0.8,28.08,716.0,10350,50,0.0,0,0,57.5,0.800594466,716.0,716.0,716.0,716.0
1,2,1,1,4,0.8,28.08,925.0,10350,50,0.0,0,0,57.5,0.800594466,925.0,925.0,925.0,925.0
1,2,1,1,3,0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.800273829,963.0,963.0,963.0,963.0
1,2,1,1,12,0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.800140969,1101.0,1101.0,1101.0,1101.0
1,2,1,1,7,0.8,25.9,1035.0,10170,38,0.0,0,0,56.5,0.800128721,1035.0,1035.0,1035.0,1035.0
1,2,1,1,8,0.8,25.9,1083.0,10170,38,0.0,0,0,56.5,0.800128721,1083.0,1083.0,1083.0,1083.0
1,2,1,1,6,0.8,11.61,910.0,4470,38,0.0,0,0,31.5,0.80007657,910.0,910.0,910.0,910.0
1,2,1,1,10,0.75,28.08,1209.0,10530,45,0.0,0,0,58.5,0.750545455,1209.0,1209.0,1209.0,1209.0
1,2,1,1,11,0.75,19.31,590.0,9900,45,0.0,0,0,55.0,0.750057851,590.0,590.0,590.0,590.0
1,2,1,2,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606,1190.0,1039.0,904.0,602.0
1,2,1,1,5,0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983281,808.0,808.0,808.0,808.0
1,2,1,2,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.61625,1190.0,1039.0,903.0,610.0
1,3,1,2,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.951420455,1190.0,1039.0,902.0,1031.0
1,3,1,2,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.880530303,1190.0,1039.0,904.0,680.0
1,3,1,1,1,0.8,26.16,1179.0,10620,75,0.0,0,0,59.0,0.850502311,1179.0,1179.0,1179.0,1179.0
1,3,1,1,9,0.8,26.16,1324.0,10620,75,0.0,0,0,59.0,0.850502311,1324.0,1324.0,1324.0,1324.0
1,3,1,1,8,0.8,25.9,1135.0,10170,60,0.0,0,0,56.5,0.850136766,1135.0,1135.0,1135.0,1135.0
1,3,1,2,3,0.75,4.15,,2700,0,0.0,0,0,15.0,0.83,1190.0,1039.0,935.0,701.0
1,3,1,2,4,0.8,3.94,,4440,0,0.0,0,0,18.0,0.827186544,1190.0,1039.0,1031.0,797.0
1,3,1,2,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.813371212,1190.0,1039.0,903.0,687.0
1,3,1,2,10,0.75,3.94,,1440,0,0.0,0,0,8.0,0.805909091,1190.0,1039.0,904.0,719.0
1,3,1,2,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.804640152,1190.0,1039.0,904.0,700.0
1,3,1,1,2,0.8,28.08,776.0,10350,63,0.0,0,0,57.5,0.800594466,776.0,776.0,776.0,776.0
1,3,1,1,4,0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594466,990.0,990.0,990.0,990.0
1,3,1,1,6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.800343766,986.0,986.0,986.0,986.0
1,3,1,1,3,0.8,19.87,924.0,9900,50,0.0,0,0,55.0,0.800273829,924.0,924.0,924.0,924.0
1,3,1,1,12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.800246753,1120.0,1120.0,1120.0,1120.0
1,3,1,1,7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721,1066.0,1066.0,1066.0,1066.0
1,3,1,1,10,0.75,28.08,1144.0,10530,69,0.0,0,0,58.5,0.8,1144.0,1144.0,1144.0,1144.0
1,3,1,1,5,0.7,21.98,413.0,9720,40,0.0,0,0,58.0,0.700480831,413.0,413.0,413.0,413.0
1,3,1,2,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606,1190.0,1039.0,904.0,668.0
1,3,1,2,6,0.8,2.9,,1800,0,0.0,0,0,10.0,0.666515152,1190.0,1039.0,717.0,685.0
1,3,1,1,11,0.8,31.83,568.0,9900,40,0.0,0,0,55.0,0.412119835,568.0,568.0,568.0,568.0
1,3,1,2,5,0.7,4.15,,1440,0,0.0,0,0,8.0,0.330113636,1190.0,1039.0,904.0,593.0
1,4,2,2,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.947689394,1190.0,1039.0,902.0,1012.0
1,4,2,2,4,0.8,3.94,,12600,0,0.0,0,0,20.0,0.919905405,1190.0,1039.0,1084.0,837.0
1,4,2,1,9,0.8,26.16,1216.0,10620,88,0.0,0,0,59.0,0.900215716,1216.0,1216.0,1216.0,1216.0
1,4,2,2,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.891723485,1190.0,1039.0,904.0,700.0
1,4,2,1,1,0.8,26.16,1189.0,10620,75,0.0,0,0,59.0,0.850502311,1189.0,1189.0,1189.0,1189.0
1,4,2,1,4,0.8,28.08,942.0,10530,75,0.0,0,0,58.5,0.850181818,942.0,942.0,942.0,942.0
1,4,2,1,7,0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766,1050.0,1050.0,1050.0,1050.0
1,4,2,1,8,0.8,25.9,1026.0,10170,60,0.0,0,0,56.5,0.850136766,1026.0,1026.0,1026.0,1026.0
1,4,2,2,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.835757576,1190.0,1039.0,903.0,688.0
1,4,2,2,5,0.7,4.15,,3840,0,0.0,0,0,8.0,0.821354167,1190.0,1039.0,891.0,748.0
1,4,2,1,2,0.8,28.08,783.0,10050,63,0.0,0,0,58.5,0.800497246,783.0,783.0,783.0,783.0
1,4,2,1,3,0.8,19.87,857.0,9900,50,0.0,0,0,55.0,0.800273829,857.0,857.0,857.0,857.0
1,4,2,1,12,0.8,11.61,548.0,15120,63,0.0,0,0,31.5,0.800107143,548.0,548.0,548.0,548.0
1,4,2,1,6,0.8,11.41,411.0,14640,50,0.0,0,0,30.5,0.800024932,411.0,411.0,411.0,411.0
1,4,2,1,10,0.75,28.08,1066.0,10530,69,0.0,0,0,58.5,0.8,1066.0,1066.0,1066.0,1066.0
1,4,2,2,10,0.75,3.94,,1440,0,0.0,0,0,8.0,0.779791667,1190.0,1039.0,904.0,647.0
1,4,2,2,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.735984848,1190.0,1039.0,904.0,665.0
1,4,2,2,3,0.75,4.15,,2160,0,0.0,0,0,12.0,0.712626263,1190.0,1039.0,891.0,672.0
1,4,2,2,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606,1190.0,1039.0,904.0,675.0
1,4,2,2,11,0.8,4.15,,900,0,0.0,0,0,5.0,0.515606061,1190.0,1039.0,806.0,639.0
1,4,2,1,11,0.35,12.52,287.0,25920,38,0.0,0,0,54.0,0.349951389,287.0,287.0,287.0,287.0
1,4,2,1,5,0.7,42.41,724.0,10260,0,0.0,0,0,57.0,0.233705476,724.0,724.0,724.0,724.0
1,6,2,2,1,0.8,3.94,,2160,0,0.0,0,0,8.0,0.985,1190.0,1039.0,892.0,1014.0
1,6,2,2,3,0.75,4.15,,2760,0,0.0,0,0,12.0,0.930340376,1190.0,1039.0,900.0,786.0
1,6,2,2,4,0.8,3.94,,6000,0,0.0,0,0,20.0,0.911589744,1190.0,1039.0,1841.0,915.0
1,6,2,2,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939,1190.0,1039.0,905.0,689.0
1,6,2,1,9,0.8,26.16,1122.0,10620,75,0.0,0,0,59.0,0.851174114,1122.0,1122.0,1122.0,1122.0
1,6,2,1,7,0.8,25.9,970.0,10170,60,0.0,0,0,56.5,0.850136766,970.0,970.0,970.0,970.0
1,6,2,1,8,0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,0.850136766,1158.0,1158.0,1158.0,1158.0
1,6,2,2,10,0.8,3.94,,1440,0,0.0,0,0,8.0,0.846950758,1190.0,1039.0,905.0,676.0
1,6,2,2,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.817424242,1190.0,1039.0,905.0,681.0
1,6,2,2,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.817102273,1190.0,1039.0,903.0,668.0
1,6,2,1,4,0.8,28.08,660.0,10440,63,0.0,0,0,58.0,0.801028213,660.0,660.0,660.0,660.0
1,6,2,1,2,0.8,28.08,749.0,10350,63,0.0,0,0,57.5,0.800594466,749.0,749.0,749.0,749.0
1,6,2,1,12,0.8,11.61,893.0,4710,50,0.0,0,0,31.5,0.800346445,893.0,893.0,893.0,893.0
1,6,2,1,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,887.0,887.0,887.0,887.0
1,6,2,1,1,0.8,26.16,1335.0,10620,63,0.0,0,0,59.0,0.800117103,1335.0,1335.0,1335.0,1335.0
1,6,2,1,10,0.8,28.08,1082.0,10530,63,0.0,0,0,58.5,0.8,1082.0,1082.0,1082.0,1082.0
1,6,2,1,3,0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.750098351,1075.0,1075.0,1075.0,1075.0
1,6,2,1,11,0.5,12.52,749.0,9540,38,0.0,0,0,53.0,0.673245283,749.0,749.0,749.0,749.0
1,6,2,2,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.670075758,1190.0,1039.0,904.0,680.0
1,6,2,2,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.628882576,1190.0,1039.0,904.0,680.0
1,6,2,1,5,0.5,20.79,966.0,7680,0,0.0,0,0,56.0,0.388007813,966.0,966.0,966.0,966.0
1,6,2,2,5,0.5,4.15,,1440,0,0.0,0,0,8.0,0.337973485,1190.0,1039.0,904.0,610.0
1,7,2,2,3,0.75,4.15,,1440,0,0.0,0,0,8.0,0.93532197,1190.0,1039.0,903.0,815.0
1,7,2,2,4,0.8,3.94,,3600,0,0.0,0,0,20.0,0.925643939,1190.0,1039.0,1665.0,924.0
1,7,2,1,9,0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,0.900215716,1095.0,1095.0,1095.0,1095.0
1,7,2,2,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.873068182,1190.0,1039.0,903.0,695.0
1,7,2,2,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939,1190.0,1039.0,905.0,689.0
1,7,2,1,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59.0,0.850502311,1383.0,1383.0,1383.0,1383.0
1,7,2,1,7,0.8,25.9,1012.0,10170,45,0.0,0,0,56.5,0.850136766,1012.0,1012.0,1012.0,1012.0
1,7,2,1,8,0.8,25.9,1209.0,10170,60,0.0,0,0,56.5,0.850136766,1209.0,1209.0,1209.0,1209.0
1,7,2,2,10,0.8,3.94,,1440,0,0.0,0,0,8.0,0.828295455,1190.0,1039.0,905.0,701.0
1,7,2,2,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.820833333,1190.0,1039.0,903.0,669.0
1,7,2,1,6,0.8,11.41,887.0,5490,50,0.0,0,0,30.5,0.800343766,887.0,887.0,887.0,887.0
1,7,2,1,12,0.8,11.61,896.0,5670,50,0.0,0,0,31.5,0.800246753,896.0,896.0,896.0,896.0
1,7,2,1,2,0.8,28.08,805.0,10530,63,0.0,0,0,58.5,0.8,805.0,805.0,805.0,805.0
1,7,2,1,10,0.8,28.08,762.0,10530,38,0.0,0,0,58.5,0.8,762.0,762.0,762.0,762.0
1,7,2,1,3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815,1043.0,1043.0,1043.0,1043.0
1,7,2,2,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.668087121,1190.0,1039.0,905.0,661.0
1,7,2,2,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.653598485,1190.0,1039.0,904.0,670.0
1,7,2,2,5,0.5,4.15,,1440,0,0.0,0,0,8.0,0.609138258,1190.0,1039.0,904.0,720.0
1,7,2,1,11,0.6,12.52,831.0,9540,30,0.0,0,0,53.0,0.600229846,831.0,831.0,831.0,831.0
1,7,2,2,6,0.8,2.9,,1440,0,0.0,0,0,8.0,0.597348485,1190.0,1039.0,904.0,670.0
1,7,2,2,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.590435606,1190.0,1039.0,904.0,674.0
1,7,2,1,4,0.8,50.48,562.0,10440,0,0.0,0,0,58.0,0.473134796,562.0,562.0,562.0,562.0
1,7,2,1,5,0.6,20.79,1208.0,7980,0,0.0,0,0,57.0,0.452979626,1208.0,1208.0,1208.0,1208.0
1,1,2,2,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.955151515,1190.0,1039.0,902.0,1323.0
1,1,2,2,4,0.35,4.3,,3240,0,0.0,0,0,18.0,0.942213805,1190.0,1039.0,785.0,1294.0
1,1,2,2,3,0.8,4.15,,1800,0,0.0,0,0,10.0,0.905454545,1190.0,1039.0,716.0,1254.0
1,1,2,2,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.880530303,1190.0,1039.0,902.0,1778.0
1,1,2,2,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.858143939,1190.0,1039.0,904.0,1477.0
